Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,331,17044,AAS,271,Intro Af-Am Lit,N,,,,2012-09-04,,,,0,0,,AA,AA 271
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,325,44368,AAS,273,Southern Novel,N,,,,2012-09-04,,,,0,0,,AA,AA 273
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,56,9022,AAS,303,Race&Ethnic,N,,,,2001-01-04,,,,0,0,,AA,AA 303
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,20,9022,AAS,303,Race&Ethnic,N,,,,1997-09-03,,,,0,0,,AA,AA 303
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,160,41048,AAS,305,Hst Modern Caribbean,N,,,,2005-09-06,,,,0,80,,AA,AA 305
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,514,49381,AAS,310,Atlantic Slavery,N,,,,2021-08-21,,,,0,0,,AA,AA 310
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,89,18151,AAS,322,Intro Env Politics,N,,,,2005-09-06,2009-04-22,,,0,0,,AA,AA 322
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,327,18151,AAS,322,Intro Env Politics,N,,,,2012-09-04,,,,0,0,,AA,AA 322
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,48,7883,AAS,327,Aspc Blk Exp,N,,,,2000-09-06,,,,0,0,,AA,AA 327
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,206,22190,AAS,332,Environ&Inequality,N,,,,2006-09-05,,,,0,0,,AA,AA 332
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,134,22190,AAS,332,Environ&Inequality,N,,,,2000-01-05,,,,0,0,,AA,AA 332
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,190,11312,AAS,338,Lit Afam Cult,N,,,,2005-01-05,2010-04-21,,,0,80,,AA,AA 338
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,332,43110,AAS,346,Lit in African Hist,N,,,,2012-09-04,,,,0,0,,AA,AA 346
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,154,40708,AAS,354,Music Race Identity,N,,,,2004-09-07,,,,0,0,,AA,AA 354
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,242,21467,AAS,355,Health African Wrlds,N,,,,2008-04-29,,,,0,0,,AA,AA 355
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,61,14987,AAS,358,Black World Studies,N,,,,2006-01-05,2008-04-16,,,0,80,,AA,AA 358
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,226,14987,AAS,358,Black World Studies,N,,,,2001-01-04,2006-04-18,,,0,80,,AA,AA 358
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,520,14987,AAS,358,Black World Studies,N,,,,2021-05-01,,,,0,85,,AA,AA 358
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,62,14987,AAS,358,Black World Studies,N,,,,2006-01-05,2010-04-21,,,0,81,,AA,AA 358
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,435,14987,AAS,358,Black World Studies,N,,,,2018-08-18,,,,0,84,,AA,AA 358
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,473,14988,AAS,384,Caribbean Lit,N,,,,2019-12-21,,,,0,0,,AA,AA 384
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,395,46937,AAS,395,Black Germany,N,,,,2016-01-01,,,,0,0,,AA,AA 395
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,431,41743,AAS,421,Afdiaspora Religions,N,,,,2018-01-01,,,,0,0,,AA,AA 421
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,66,16421,AAS,457,Econ Blk Am,N,,,,2002-01-07,2007-04-18,,,0,0,,AA,AA 457
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,264,4611,AAS,458,Black World Issues,N,,,,,,1760.0,Fall 2009,5,0,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,269,4611,AAS,458,Black World Issues,N,,,,2009-09-08,2012-08-31,,,0,80,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,287,4611,AAS,458,Black World Issues,N,,,,2011-01-05,2012-08-31,,,0,83,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,249,4611,AAS,458,Black World Issues,N,,,,2008-09-02,2009-08-19,,,0,83,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,185,4611,AAS,458,Black World Issues,N,,,,2006-09-05,2010-04-21,,,0,81,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,207,4611,AAS,458,Black World Issues,N,,,,2007-01-04,2012-08-31,,,0,82,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,186,4611,AAS,458,Black World Issues,N,,,,2004-01-06,2009-04-22,,,0,80,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,506,4611,AAS,458,Black World Issues,N,,,,2020-12-19,,,,0,85,,AA,AA 458
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,31,4612,AAS,476,Contemp Afro Lit,N,,,,2006-01-05,2010-04-21,,,0,80,,AA,AA 476
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,49,7891,AAS,486,Blk Media I,N,,,,2006-01-05,2009-04-22,,,0,80,,AA,AA 486
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,259,18301,AAS,487,Blk Media II,N,,,,2009-01-07,,,,0,81,,AA,AA 487
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,348,18301,AAS,487,Blk Media II,N,,,,2013-08-17,,,,0,0,,AA,AA 487
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,256,18301,AAS,487,Blk Media II,N,,,,2009-01-07,,,,0,1,,AA,AA 487
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,90,18301,AAS,487,Blk Media II,N,,,,2006-01-05,2009-04-22,,,0,80,,AA,AA 487
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,112,18871,ACABS,292,Sem in ACABS,N,,,,2006-01-05,2008-04-16,,,0,80,,ACAB,ACAB 292
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,465,39233,ALA,109,Hlth&Hlth Care II,N,,,,2019-12-21,,,,0,0,,AL,AL 109
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,383,20046,ALA,122,Intrgrp Dialogue,N,,,,2015-01-01,,,,0,0,,AL,AL 122
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,524,47195,ALA,170,ALA Topics,N,,,,2021-08-21,,,,0,80,,AL,AL 170
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,497,42942,ALA,220,Foundations IGR,N,,,,2020-05-01,,,,0,0,,AL,AL 220
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,342,44143,ALA,222,Twenty Two Ways,N,,,,,,,,0,80,,AL,AL 222
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,492,49154,ALA,306,Interdisc LGBTQ Hlth,N,,,,2019-06-29,,,,0,0,,AL,AL 306
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,366,20047,ALA,320,IGR Facilitation,N,,,,2013-12-21,,,,0,0,,AL,AL 320
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,21,20047,ALA,320,IGR Facilitation,N,,,,2003-01-06,,,,0,0,,AL,AL 320
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,521,20048,ALA,321,IGR Practicum,N,,,,2021-05-04,,,,0,0,,AL,AL 321
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,229,42269,AMAS,215,Intro Arab-Amer Std,N,,,,2008-01-03,,,,0,0,,AMA,AMA 215
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,213,41929,AMAS,235,Harems to Terrorists,N,,,,2007-01-04,,,,0,0,,AMA,AMA 235
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,511,45592,AMAS,311,Arab Amer Stud/HU,N,,,,2020-12-19,2021-12-19,,,0,80,,AMA,AMA 311
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,499,49165,AMAS,330,ArabAm Cultural Stds,N,,,,2020-12-19,,,,0,0,,AMA,AMA 330
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,119,19927,AMCULT,100,What is an American?,N,,,,2004-01-06,,,,0,0,,AMCUL,AMCUL 100
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,163,19230,AMCULT,102,First Year Sem,N,,,,2004-01-06,2009-04-22,,,0,80,,AMCUL,AMCUL 102
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,219,20185,AMCULT,103,Am Std Fy Sem,N,,,,2007-09-04,,,,0,83,,AMCUL,AMCUL 103
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,121,20185,AMCULT,103,Am Std Fy Sem,N,,,,2006-01-05,2006-04-19,,,0,80,,AMCUL,AMCUL 103
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,182,20185,AMCULT,103,Am Std Fy Sem,N,,,,2005-09-06,,,,0,81,,AMCUL,AMCUL 103
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,178,20185,AMCULT,103,Am Std Fy Sem,N,,,,2006-01-05,,,,0,82,,AMCUL,AMCUL 103
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,234,20185,AMCULT,103,Am Std Fy Sem,N,,,,2008-01-03,,,,0,84,,AMCUL,AMCUL 103
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,394,4618,AMCULT,201,American Value,N,,,,2016-01-01,,,,0,0,,AMCUL,AMCUL 201
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,30,4618,AMCULT,201,American Value,N,,,,2006-01-05,2015-12-31,,,0,80,,AMCUL,AMCUL 201
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,516,18750,AMCULT,204,Am Cult Thms,N,,,,2021-05-01,,,,0,86,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,512,18750,AMCULT,204,Am Cult Thms,N,,,,2021-08-21,,,,0,85,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,108,18750,AMCULT,204,Am Cult Thms,N,,,,2006-01-05,2011-04-20,,,0,80,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,396,18750,AMCULT,204,Am Cult Thms,N,,,,2016-01-01,,,,0,81,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,437,18750,AMCULT,204,Am Cult Thms,N,,,,2018-08-18,,,,0,82,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,494,18750,AMCULT,204,Am Cult Thms,N,,,,2020-08-22,,,,0,84,,AMCUL,AMCUL 204
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,270,17284,AMCULT,205,Amer Cultures,N,,,,2007-09-04,,,,0,81,,AMCUL,AMCUL 205
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,484,17284,AMCULT,205,Amer Cultures,N,,,,2019-08-21,,,,0,82,,AMCUL,AMCUL 205
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,85,17284,AMCULT,205,Amer Cultures,N,,,,2006-01-05,,,,0,80,,AMCUL,AMCUL 205
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,495,17284,AMCULT,205,Amer Cultures,N,,,,2020-08-20,,,,0,83,,AMCUL,AMCUL 205
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,338,18522,AMCULT,206,Am Cult Thms,N,,,,2012-12-21,,,,0,80,,AMCUL,AMCUL 206
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,225,12858,AMCULT,210,Intr Eth Std,N,,,,2000-09-06,2006-08-16,,,0,80,,AMCUL,AMCUL 210
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,74,12858,AMCULT,210,Intr Eth Std,N,,,,2006-01-05,2006-12-13,,,0,81,,AMCUL,AMCUL 210
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,75,12858,AMCULT,210,Intr Eth Std,N,,,,2006-01-05,2010-04-21,,,0,82,,AMCUL,AMCUL 210
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,76,16616,AMCULT,211,Intr Eth Std,N,,,,2006-01-05,2009-04-22,,,0,80,,AMCUL,AMCUL 211
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,77,16616,AMCULT,211,Intr Eth Std,N,,,,2006-01-05,2009-04-22,,,0,81,,AMCUL,AMCUL 211
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,477,49164,AMCULT,212,Motor Nation,N,,,,2020-08-22,,,,0,0,,AMCUL,AMCUL 212
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,94,18524,AMCULT,212,Intro Lat Std,N,,,,2001-01-04,2006-04-18,,,0,0,,AMCUL,AMCUL 212
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,95,18525,AMCULT,213,Intro Latina/o Study,N,,,,2001-01-04,,,,0,0,,AMCUL,AMCUL 213
4621,"Race and Ethnicity--Valid Begin Date (Includes courses that end FA05 or later); Transfer, Test & Other OFF - This includes courses with no valid begin dates, but has other defining factors.",1901-01-01,A,1,18525,AMCULT,213,Intro Latina/o Study,N,,,,2003-01-06,,,,0,0,,AMCUL,AMCUL 213
