Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,description,subject,course
1792,1,2360,1,35,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,34,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,40,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,42,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,174,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,173,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,44,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,52,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,55,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,180,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,22,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,175,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,199,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,172,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,906,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,25,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,171,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,2,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,1,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,21,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,31,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,170,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,4,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,24,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,41,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,176,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,177,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,15,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,179,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1792,1,2360,1,14,MSA,MSA,2360,MATH,105,"Dat,Fcns,Gph",MAT,MAT 105
1794,1,2360,1,69,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,70,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,53,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,102,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,71,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,72,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,173,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,172,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,51,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,50,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,57,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,175,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,63,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,64,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,61,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,52,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,66,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,65,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,93,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,1,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,2,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,48,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,67,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,44,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,131,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,3,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,4,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,5,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,8,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,125,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,174,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,117,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,23,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,34,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,60,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,49,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,79,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,24,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,27,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,28,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,30,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,33,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,199,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
