Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
176,1997 Second Language (no other),1997-09-03,A,101,47205,LACS,464,Inter Nahuatl II,N,,,,,,,,0,0,,LAC,LAC 464
176,1997 Second Language (no other),1997-09-03,A,93,20969,LACS,474,Interm Quech II,N,,,,2011-08-20,,,,0,0,,LAC,LAC 474
176,1997 Second Language (no other),1997-09-03,A,28,5654,LATIN,232,Vergil-Aeneid,N,,,,,,,,0,0,,LATI,LATI 232
176,1997 Second Language (no other),1997-09-03,A,73,41622,LATIN,233,Late Latin,N,,,,2006-09-05,,,,0,0,,LATI,LATI 233
176,1997 Second Language (no other),1997-09-03,A,97,45119,LATIN,295,Intensive Latin II,N,,,,,,,,0,0,,LATI,LATI 295
176,1997 Second Language (no other),1997-09-03,A,105,18155,LATINOAM,224,Span Herit Lang,N,,,,,,,,0,0,,LATINOA,LATINOA 224
176,1997 Second Language (no other),1997-09-03,A,6,7908,MELANG,202,Intmd Class Hebrw II,N,,,,,,,,0,0,,MELAN,MELAN 202
176,1997 Second Language (no other),1997-09-03,A,61,5397,MELANG,308,Acts Apostles,N,,,,2001-09-05,,,,0,0,,MELAN,MELAN 308
176,1997 Second Language (no other),1997-09-03,A,90,43724,MELANG,506,Im CentAsian Lan II,N,,,,2011-01-05,,,,0,0,,MELAN,MELAN 506
176,1997 Second Language (no other),1997-09-03,A,103,47754,MELANG,531,Adv Mid Egyptian II,N,,,,2017-08-19,,,,0,0,,MELAN,MELAN 531
176,1997 Second Language (no other),1997-09-03,A,7,13270,NATIVEAM,323,Intermed Ojibwe II,N,,,,,,,,0,0,,NATIVEA,NATIVEA 323
176,1997 Second Language (no other),1997-09-03,A,2,8578,PERSIAN,202,IM Persian II,N,,,,,,,,0,0,,PERSIA,PERSIA 202
176,1997 Second Language (no other),1997-09-03,A,30,8823,POLISH,222,Second-Year,N,,,,,,,,0,0,,POLIS,POLIS 222
176,1997 Second Language (no other),1997-09-03,A,75,15413,PORTUG,230,Inten 2nd Yr,N,,,,2005-09-06,,,,0,0,,PORTU,PORTU 230
176,1997 Second Language (no other),1997-09-03,A,31,8878,PORTUG,232,Second-Year,N,,,,,,,,0,0,,PORTU,PORTU 232
176,1997 Second Language (no other),1997-09-03,A,57,22227,RCASL,202,Intermediate ASL II,N,,,,2000-09-06,,,,0,0,,RCAS,RCAS 202
176,1997 Second Language (no other),1997-09-03,A,66,9545,RCLANG,290,Intens French,N,,,,2002-09-03,,,,0,0,,RCLAN,RCLAN 290
176,1997 Second Language (no other),1997-09-03,A,67,9546,RCLANG,291,Intensive German,N,,,,2002-09-03,,,,0,0,,RCLAN,RCLAN 291
176,1997 Second Language (no other),1997-09-03,A,98,45104,RCLANG,293,Intensive Russian II,N,,,,2012-12-20,,,,0,0,,RCLAN,RCLAN 293
176,1997 Second Language (no other),1997-09-03,A,68,9548,RCLANG,294,Intens Spanish,N,,,,2002-09-03,,,,0,0,,RCLAN,RCLAN 294
176,1997 Second Language (no other),1997-09-03,A,63,38626,RCLANG,295,Intensive Latin II,N,,,,2001-09-05,,,,0,0,,RCLAN,RCLAN 295
176,1997 Second Language (no other),1997-09-03,A,80,40863,RCLANG,296,Intens Japanese II,N,,,,2005-01-05,,,,0,0,,RCLAN,RCLAN 296
176,1997 Second Language (no other),1997-09-03,A,6,7908,RELIGION,211,Intmd Class Hebrw II,N,,,,,,,,0,0,,RELIGIO,RELIGIO 211
176,1997 Second Language (no other),1997-09-03,A,79,39194,RUSSIAN,125,Russian Heritage I,N,,,,2004-01-06,2014-08-16,,,0,0,,RUSSIA,RUSSIA 125
176,1997 Second Language (no other),1997-09-03,A,32,1914,RUSSIAN,202,Second Year,N,,,,,,,,0,0,,RUSSIA,RUSSIA 202
176,1997 Second Language (no other),1997-09-03,A,33,1915,RUSSIAN,203,Inten 2nd Yr Russ,N,,,,,,,,0,0,,RUSSIA,RUSSIA 203
